Count_of_images:;109;;;;;;;;;;
Picture;Response;Number_of_dice;Results;;;;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103104.png;correct;7D;3;3;4;4;1;2;1;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103112.png;correct;7D;6;5;3;4;1;2;1;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103121.png;correct;7D;5;5;5;3;1;1;2;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103131.png;correct;7D;5;3;3;5;4;1;2;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103155.png;correct;9D;6;6;6;5;4;4;2;2;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103216.png;correct;2D;1;2;;;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103241.png;correct;4D;6;6;6;5;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103250.png;correct;4D;6;4;2;2;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103300.png;correct;4D;6;3;4;2;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103339.png;correct;4D;6;1;2;1;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103349.png;correct;4D;3;4;4;2;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103357.png;correct;4D;6;6;3;2;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103407.png;correct;4D;6;3;1;1;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103417.png;correct;4D;5;3;4;2;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103426.png;correct;4D;5;5;2;2;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103435.png;correct;4D;6;3;4;1;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103445.png;correct;4D;5;3;4;1;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103507.png;correct;7D;6;6;5;5;4;1;2;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103516.png;correct;7D;6;3;3;1;1;1;1;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103524.png;correct;7D;6;3;5;3;2;1;1;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103534.png;correct;7D;6;3;4;1;1;2;1;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103544.png;correct;7D;6;6;6;3;3;4;1;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103553.png;correct;7D;6;5;3;5;1;1;2;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103604.png;correct;7D;6;5;5;5;3;1;2;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103613.png;correct;7D;5;4;2;1;2;1;2;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103639.png;correct;9D;4;4;4;4;4;1;1;2;2
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103653.png;correct;9D;6;6;5;5;3;2;2;1;2
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103706.png;correct;9D;5;5;3;4;2;2;2;1;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103714.png;correct;9D;6;5;3;5;3;4;4;2;2
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103723.png;correct;9D;3;5;5;4;4;2;2;1;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103738.png;correct;9D;6;6;3;5;3;5;1;1;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103747.png;correct;9D;6;3;3;5;4;4;4;1;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103755.png;correct;9D;6;6;3;3;2;2;1;1;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103804.png;correct;9D;6;5;3;3;5;4;4;2;2
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103813.png;correct;9D;5;3;4;4;4;1;2;2;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103825.png;correct;9D;6;6;6;3;3;5;4;1;2
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103843.png;correct;9D;6;6;5;3;4;2;1;1;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103852.png;correct;9D;6;6;5;3;4;4;2;1;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103901.png;correct;9D;6;3;3;4;4;2;2;2;2
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103910.png;correct;9D;5;5;3;5;4;4;1;1;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103922.png;correct;9D;6;3;3;5;1;2;2;2;2
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103931.png;correct;9D;5;3;3;5;5;4;1;2;2
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103940.png;correct;9D;5;1;1;2;2;2;2;1;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103949.png;correct;9D;6;6;5;5;5;5;3;4;4
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103958.png;correct;9D;6;3;3;5;3;4;4;2;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-104017.png;correct;9D;6;6;3;3;4;4;4;1;2
C://Users/acer/Pictures/Pictures/Screenshot_20221208-104028.png;correct;9D;6;6;5;5;3;3;3;4;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-104037.png;correct;9D;6;3;3;3;3;4;2;1;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-104046.png;correct;9D;6;6;5;3;5;4;2;2;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-104055.png;correct;9D;6;6;6;6;5;4;4;1;2
C://Users/acer/Pictures/Pictures/Screenshot_20221208-104103.png;correct;9D;6;3;5;5;4;4;4;2;1
correct:;1,00;;;;;;;;;;
dot:;0,00;;;;;;;;;;
clustering:;0,00;;;;;;;;;;
both:;0,00;;;;;;;;;;
unknown:;0,00;;;;;;;;;;
